month,avg_fare,avg_tip
2024-01,18.65158784316899,3.377668282200293
2024-02,18.543516517376727,3.34718945622131
2024-03,19.26475834718911,3.2429243420189104
2024-04,19.56942695266542,3.282800965102161
2024-05,20.366577542423475,3.3752041836613036
2024-06,20.086493131132706,3.3090826243702263
2024-07,20.315857242016072,3.325252177890117
2024-08,20.55850701426424,3.3276761239100026
2024-09,20.793995250621276,3.375666149403082
2024-10,20.49730299239696,3.4921177175272513
2024-11,19.969232591309524,3.3801277269891834
2024-12,20.54542549910554,3.5329487570275586
