passenger_count,distance_bucket,total_rides,avg_fare
0,<1 mile,506389,15.156782014401864
0,1-2 miles,1214297,17.373166561347364
0,10-20 miles,146692,65.3315305651629
0,2-5 miles,1735865,24.53656172447429
0,20+ miles,12717,95.1396266450562
0,5-10 miles,586508,36.67459797038398
1,<1 mile,6719310,13.89819779916963
1,1-2 miles,9505097,18.82210083017659
1,10-20 miles,1948822,78.62305382407251
1,2-5 miles,7405364,27.270370360804318
1,20+ miles,280707,110.55412547573918
1,5-10 miles,2398745,48.06898614845946
2,<1 mile,1141112,14.518183717249412
2,1-2 miles,1703730,18.9078709688788
2,10-20 miles,574915,83.14027141212
2,2-5 miles,1394355,27.633795527145935
2,20+ miles,90115,103.99850408183094
2,5-10 miles,441513,49.24820308456957
3,<1 mile,270722,14.656386986686064
3,1-2 miles,412100,18.955911341665786
3,10-20 miles,124686,83.28745571245078
3,2-5 miles,332401,27.55845373540454
3,20+ miles,19845,112.83994829383776
3,5-10 miles,105490,47.988619655075205
4,<1 mile,160398,16.15928563375313
4,1-2 miles,248475,18.802386523152826
4,10-20 miles,88388,82.13686704060262
4,2-5 miles,205183,27.44452272875884
4,20+ miles,14078,117.62544711844659
4,5-10 miles,71678,47.98386209842107
5,<1 mile,69630,13.747172922956588
5,1-2 miles,108681,18.908406667085625
5,10-20 miles,21474,84.58111170777798
5,2-5 miles,89357,27.551493178813978
5,20+ miles,3622,115.40835269803438
5,5-10 miles,26193,49.76622955669758
6,<1 mile,48856,13.784776902001639
6,1-2 miles,75755,18.992085087935873
6,10-20 miles,12708,84.55046403126632
6,2-5 miles,60056,27.731214147092373
6,20+ miles,1914,109.55581073103279
6,5-10 miles,15320,48.80240274225763
7,<1 mile,9,58.27333323160807
7,10-20 miles,6,87.28333536783855
7,2-5 miles,7,61.12999968869345
7,20+ miles,2,114.95000076293945
7,5-10 miles,5,72.19799919128418
8,<1 mile,65,93.31184536126943
8,1-2 miles,2,90.5
8,10-20 miles,27,109.81222279866536
8,2-5 miles,4,103.44000053405762
8,20+ miles,2,113.96500015258789
8,5-10 miles,5,110.81399993896484
9,<1 mile,6,84.38333384195964
9,1-2 miles,1,18.450000762939453
9,10-20 miles,5,88.67600135803222
9,2-5 miles,1,24.299999237060547
9,20+ miles,2,117.56000137329102
9,5-10 miles,3,88.25333404541016
