pu_location_id,total_pickups,total_revenue
132,1989994,152302287.51360488
237,1915441,39185257.52792724
161,1914607,47033288.98148999
236,1729896,35914548.29496617
162,1418847,34034154.93217711
230,1391159,38940372.69250474
186,1362156,33822911.38256857
142,1314690,28757491.911986895
138,1295508,86091548.96701097
170,1176583,27940153.218908384
163,1170195,28779732.481263556
239,1142282,24799596.997835204
68,1113868,28367299.94860811
234,1105439,24720469.508512106
48,1040759,24478029.006773423
79,949196,21339062.250333603
249,947257,21345200.478763625
164,938704,22763327.90803627
141,929064,19094085.53962597
107,822254,18131586.83211758
140,804618,18298086.233355694
238,792561,16960404.31988235
263,766745,16355274.007851606
246,722289,17521061.616285678
229,714624,15649693.930263344
90,652648,14660598.580944592
43,648590,14730776.994608244
100,630553,15317763.534257676
114,596322,13486227.676467855
113,583069,13010221.620200463
262,562789,12420125.562074969
231,561151,14889651.646626398
233,477427,11951263.411018996
143,459686,9789456.140352944
148,451039,11241611.945641141
137,438033,9592850.916782783
144,424878,10216768.078865636
158,415578,10264778.459212773
211,341183,8234594.030335482
151,325735,6884796.070731971
75,263733,5657464.902318632
13,255125,8100935.030546123
50,253267,5907261.232988754
87,235448,7362177.112419741
261,218067,6940256.802067284
125,209160,5103751.395912437
166,199833,4685814.994818347
70,160207,10122186.087846994
88,126592,4105440.854769189
264,122200,3685691.167782834
41,119738,2606738.676885534
74,107809,2330560.9078422375
24,105663,2353656.966660455
209,87461,2612556.9677056167
4,71461,1687265.079364324
45,65301,1812732.3684349228
232,64166,1746370.6093992088
224,63019,1445294.458742518
42,60073,1451717.5083454885
145,46804,1307291.378789246
116,39055,991312.1892682649
226,37822,1297078.3884629663
244,34548,999548.7694100328
255,33333,966580.9897648487
65,32631,1013899.659257153
152,31862,719147.3894005027
33,30007,942093.5296456367
7,29158,735647.8991138171
61,26726,801796.9992144685
97,25704,734539.2794823721
265,24001,2240523.939212203
25,23631,693355.0495595634
256,23600,707114.4901526254
193,22296,318268.84000211954
146,21468,548926.0490820929
181,21438,658688.3793360684
66,21277,660732.3898172565
80,20310,656438.1994660087
93,19995,1231810.0401079208
76,19792,645361.1085731275
129,17519,627441.8881643265
112,17299,507649.6597823147
12,17210,552717.419161439
188,16566,500416.77922315337
216,16504,949161.6377209798
10,15770,1037939.5914728753
39,15446,505540.32029492594
89,14683,462922.25879487395
37,14037,429165.25945939496
225,13826,419122.10942567326
17,13613,402896.3895036001
49,13595,413467.21975019574
130,13577,554584.0893123075
260,13158,426293.8694194555
168,12912,378769.579359198
35,11644,350837.0592250675
223,11330,478576.5196608938
72,11113,327700.0795171354
197,11013,449359.6284714341
243,10935,356607.61967593804
95,10550,352675.31869000196
179,10496,283396.34943288565
82,10276,362873.98956640065
91,10124,308672.8194987178
52,9364,282220.4698283952
71,9346,270299.74957562424
195,9150,459256.6094493568
36,8920,276478.0997834597
62,8799,260157.4697438553
215,8749,469406.36943531036
177,8737,268879.0495145619
247,8099,273387.8992764428
40,7817,235696.3100296259
189,7782,236963.97990727425
157,7529,310343.8597558737
219,7079,445008.89014929533
14,6825,254040.79953278974
69,6729,217974.7492786944
134,6061,330217.7591803372
28,6021,271791.8897488415
159,5957,177701.01944817044
1,5940,563645.6982930899
51,5863,253185.23884737492
55,5848,255915.59000086784
228,5840,212044.86970210075
85,5838,178462.7096823156
213,5688,204492.6085487008
205,5446,223438.10891151428
222,5441,195266.3099872768
218,4878,192763.30942726135
56,4861,206729.85929575562
165,4857,142435.85955762863
198,4792,146123.43966591358
127,4683,160601.15017938614
77,4668,149232.43957218528
191,4647,193138.9786646366
196,4618,181226.20940423943
155,4568,154611.44017578103
92,4492,167405.93922025897
26,4462,136467.68957972527
235,4338,152642.88977485895
167,4263,135552.3493545428
210,4258,161139.10025590658
182,4190,160332.00909674168
254,4129,165633.38951343298
63,4083,133725.89954417944
83,4073,148353.24974921346
86,3900,206304.2312555313
117,3892,194443.5201869011
119,3842,135381.9897091575
169,3713,121361.05957859755
106,3710,115337.00999549031
258,3546,119420.02946896851
78,3466,122036.2594178915
133,3292,105391.31983995438
22,3225,108786.14947676659
123,3152,97790.41977789998
121,3072,104272.06932216883
29,3032,123112.1997563839
124,2997,130007.71003508568
217,2953,86905.08994704485
241,2936,112053.72976674512
47,2917,100090.10966718197
242,2906,103736.51923775673
207,2900,51906.72982335091
18,2811,103736.88980579376
131,2792,101881.77947357297
220,2777,106525.76000875235
248,2697,92446.10952496529
212,2690,91914.71964586712
34,2670,81836.59996391833
203,2631,124017.99983370304
160,2612,97056.94976642728
126,2573,86905.37969756126
149,2545,80454.13983154297
202,2539,90174.13995862007
135,2469,89736.15942013264
250,2437,81435.90953111649
139,2344,105820.58973427117
208,2325,89672.39948964119
108,2301,91016.9898762703
174,2297,95905.56973314285
21,2235,76048.56977855787
38,2229,105501.54002523422
259,2223,94374.23982453346
81,2221,91376.48976635933
227,2200,76359.80974805355
136,2193,79779.30988645554
60,2162,74768.71956265904
147,2132,70074.59964823723
102,2089,63329.249930381775
180,2086,78489.61978843808
173,2050,61720.13981148414
257,2042,70438.41978549957
32,1965,76852.16971862316
194,1949,116286.74999928474
20,1889,70432.28959131241
19,1847,72814.62994599342
54,1818,59589.30994606018
185,1797,64448.86971437
200,1780,74042.85014629364
67,1744,59230.44983714819
3,1726,67261.40965437889
150,1470,54432.7400816977
94,1455,50726.88988149166
122,1452,55261.709683418274
190,1421,44076.479949235916
171,1349,48333.70961081982
201,1341,62614.18010163307
252,1338,52223.0598602891
53,1325,49979.019783735275
11,1277,47500.44983744621
16,1214,46943.3598484993
98,1202,43643.43981444836
178,1151,35977.19980418682
192,1135,37132.68993836641
101,1119,45004.41991651058
175,1024,39233.96986603737
183,951,38416.1699256897
9,847,29523.659874916077
64,804,33915.489792883396
15,769,31596.169813394547
153,752,24320.819941043854
154,707,24729.440061092377
6,584,15738.250023126602
73,577,20478.449875473976
128,412,14594.660037994385
31,382,17960.499932289124
240,338,13307.969948291779
46,332,16266.789946556091
96,306,10163.779995441437
57,299,12046.119989152998
120,282,11600.120028018951
253,278,12744.869997024536
8,239,14371.300031661987
27,189,8378.969996213913
23,186,11348.059990644455
184,174,7941.469993829727
221,166,7536.910011291504
58,160,6153.22998714447
214,147,6449.129998922348
115,109,5699.720006227493
59,104,3717.749970436096
118,102,6132.110015630722
172,101,4367.610005378723
30,96,3230.8199985027313
251,78,4754.459990620613
111,75,3194.780002593994
2,62,3585.799991130829
156,62,3340.7500143051147
206,61,3315.3699877262115
245,46,2450.9099826812744
109,39,2454.319995880127
176,38,1890.6999909877777
187,38,1805.5299935340881
44,23,2029.4100222587585
84,21,1208.5600094795227
204,18,1942.5099906921387
199,17,781.4699954986572
5,7,602.9799957275391
99,4,111.32999801635742
105,4,118.06999969482422
110,1,12.5
