pickup_hour,total_rides,total_revenue,avg_fare
0,1192057,33144163.34784664,27.804176602164695
1,775046,19574194.364257917,25.255525948470048
2,504188,11932379.949160827,23.666529050990558
3,331791,8182390.129392611,24.66127812204855
4,243817,7493090.147354627,30.73243517619619
5,264392,9433955.564814005,35.68169825416051
6,586403,17463406.861717604,29.780555116050913
7,1133880,30345247.29622817,26.762309323939192
8,1562647,40628625.060743816,25.999873970732875
9,1709199,44532631.849802375,26.054679326282297
10,1831577,48516278.649951704,26.488800989503417
11,1991266,53153409.48781736,26.693274272657376
12,2178786,59232825.07208207,27.186160124070042
13,2266971,63620109.963592604,28.06392757719115
14,2432604,70600566.92712212,29.022630451615683
15,2512081,72876059.41487497,29.010234707748264
16,2561466,79242824.69261184,30.936512408367648
17,2813259,81712520.27151777,29.045502128143113
18,2955735,81559439.16897193,27.59362363979583
19,2598187,71672056.21257961,27.585410985652537
20,2358284,63962553.787929915,27.12249830297365
21,2405757,65250529.778083146,27.122660259570335
22,2228360,61955492.78696825,27.803179372708293
23,1731967,49784373.98634249,28.74441255886659
