source_year,passenger_count,total_rides,avg_fare
2017,0,14658,16.027488085176596
2017,1,6361105,16.54434884447856
2017,2,1328461,17.359174377545337
2017,3,379785,16.837242717111977
2017,4,173531,17.038857720543742
2017,5,419476,16.770492918389607
2017,6,268059,16.63455922850016
2017,7,27,62.448889626397026
2017,8,34,57.49294235425837
2017,9,35,63.12600127969469
2018,0,80165,19.85577162497876
2018,1,5719512,16.668428858703916
2018,2,1193220,17.4640244765799
2018,3,335672,16.9975791961707
2018,4,153795,17.057668116669447
2018,5,353079,16.893150224971983
2018,6,213100,16.74545430894499
2018,7,29,38.33448305931584
2018,8,26,58.802693146925705
2018,9,28,72.8092870925154
2019,0,154603,24.125118050399962
2019,1,4602971,19.651756947867824
2019,2,1005101,20.51092677778718
2019,3,272745,19.973531885524093
2019,4,123327,20.308480968023122
2019,5,254107,19.727192907191142
2019,6,154465,19.678798957661773
2019,7,29,67.7448283166721
2019,8,23,74.1173916692319
2019,9,25,74.62720054149628
2020,0,118282,27.94607142304935
2020,1,938182,16.56417794297759
2020,2,168114,16.93459698579233
2020,3,43412,16.600198951445396
2020,4,16067,17.17724333677086
2020,5,34770,16.49432694197798
2020,6,22040,16.56866327239684
2020,7,9,20.6922222243415
2020,8,3,9.086666742960611
2020,9,4,53.7425000667572
2021,0,216086,28.130386791621778
2021,1,2050032,20.089967296121724
2021,2,431701,21.265599677990846
2021,3,110645,20.518956922196228
2021,4,44419,20.921686337098247
2021,5,71519,19.865821585436493
2021,6,39270,20.008702990096246
2021,7,6,87.83833440144856
2021,8,9,48.25000090069241
2021,9,2,72.83499908447266
2022,0,175006,27.359741976483527
2022,1,2276161,21.774087952165235
2022,2,479252,24.7832155214208
2022,3,117437,23.73658392894355
2022,4,50332,24.97746809174317
2022,5,49448,21.675101425581293
2022,6,36018,21.895270319706736
2022,7,21,82.9961911156064
2022,8,10,87.11700096130372
2022,9,5,91.99200057983398
2023,0,179361,29.685708981506124
2023,1,2057707,28.913173810311783
2023,2,408146,33.59676129169889
2023,3,92178,31.19657184497308
2023,4,49692,33.04135957074791
2023,5,35975,29.393099130136093
2023,6,23599,28.397521517318086
2023,7,11,87.20272827148438
2023,8,13,101.0500001173753
2023,9,8,102.76625061035156
2024,0,514077,24.032031488236925
2024,1,2472133,28.535537016610864
2024,2,457541,32.606303129883614
2024,3,94917,30.49007699878857
2024,4,55061,33.38955411487789
2024,5,23657,29.336841562581686
2024,6,15569,28.037001107467823
2024,7,9,66.21444405449762
2024,8,12,82.37166659037273
2024,9,5,104.80800018310546
2098,5,1,25.799999237060547
