source_year,day_night,total_rides,total_revenue,avg_fare
2017,Day,6072319,101655095.98830329,16.740737103617793
2017,Night,2872852,47732176.375368,16.61490963522242
2018,Day,5544944,93394728.70159557,16.84322306980838
2018,Night,2503682,42237458.998697236,16.870137261320423
2019,Day,4599416,91731819.97141635,19.944232044115243
2019,Night,1967980,39080319.455461025,19.858087711999627
2020,Day,1110571,19304342.022368193,17.382357384055762
2020,Night,230312,4324075.778129786,18.77486096308393
2021,Day,2187777,45706156.31378219,20.89159741316514
2021,Night,775912,16145155.713530093,20.80797269990681
2022,Day,2276465,52010087.06869467,22.846864357103964
2022,Night,907225,20124974.790552378,22.183002883025026
2023,Day,2035526,60983828.93717824,29.95973961382868
2023,Night,811164,23796047.088137396,29.335679453399553
2024,Day,2534363,73213488.21034306,28.888319554200823
2024,Night,1098618,30468316.751568675,27.73331289999679
2098,Night,1,25.799999237060547,25.799999237060547
