source_year,pickup_week,pickup_yearweek,avg_tip_percentage
2017,35,2017-W35,9.061056506813692
2017,36,2017-W36,10.23947518708392
2017,37,2017-W37,10.450317802427286
2017,38,2017-W38,10.299619356724069
2017,39,2017-W39,10.605650215441347
2018,35,2018-W35,8.976729831437904
2018,36,2018-W36,10.534176597652351
2018,37,2018-W37,10.749287711891869
2018,38,2018-W38,10.70410039732597
2018,39,2018-W39,10.654487195745553
2019,35,2019-W35,9.181362118113142
2019,36,2019-W36,10.611605993317214
2019,37,2019-W37,10.869549198453731
2019,38,2019-W38,10.830437412276877
2019,39,2019-W39,10.707813661940085
2019,40,2019-W40,10.516620891172677
2020,36,2020-W36,10.22887692516257
2020,37,2020-W37,10.567841451805727
2020,38,2020-W38,10.810611209581559
2020,39,2020-W39,10.816494549271546
2020,40,2020-W40,10.841919060129907
2021,35,2021-W35,11.37639097298058
2021,36,2021-W36,11.65589201313774
2021,37,2021-W37,11.773131063856713
2021,38,2021-W38,11.780232822262771
2021,39,2021-W39,11.860109748474017
2022,35,2022-W35,11.509480658524183
2022,36,2022-W36,12.05942183267428
2022,37,2022-W37,12.250261641537472
2022,38,2022-W38,12.156821670891457
2022,39,2022-W39,12.27807609807334
2023,35,2023-W35,10.86307666674019
2023,36,2023-W36,11.538473388147288
2023,37,2023-W37,11.661287924677985
2023,38,2023-W38,11.476393916126506
2023,39,2023-W39,11.79735198375947
2024,35,2024-W35,9.547215949304402
2024,36,2024-W36,10.553872531718083
2024,37,2024-W37,10.339716292942354
2024,38,2024-W38,10.56331253736123
2024,39,2024-W39,10.800516868844943
2024,40,2024-W40,11.350547547289088
2098,37,2098-W37,0.0
