source_year,distance_bucket,total_rides,total_revenue,avg_fare
2017,<1 mile,2139347,16447545.529069573,7.688114891632621
2017,1-2 miles,2994132,33126138.872233808,11.063686862247158
2017,2-5 miles,2442171,42150489.475504816,17.259434116409054
2017,5-10 miles,749213,23347601.207855105,31.162835145486138
2017,10-20 miles,492010,27434572.725559622,55.76019334070369
2017,20+ miles,63825,4907801.4639540315,76.89465670119908
2018,<1 mile,1966576,15351703.081850648,7.806310603734942
2018,1-2 miles,2675814,30071102.341459394,11.238113838054288
2018,2-5 miles,2158365,37759363.46091539,17.49442909837557
2018,5-10 miles,675917,21150348.097960055,31.29133917028282
2018,10-20 miles,452527,25332791.046987653,55.980728325575384
2018,20+ miles,56474,4443894.141108453,78.68920460935038
2019,<1 mile,1530703,16331319.439073026,10.669162756637327
2019,1-2 miles,2188242,30547539.888971746,13.959854480890023
2019,2-5 miles,1773439,35807131.893521905,20.190788571539198
2019,5-10 miles,559354,19192941.51116079,34.3126919824669
2019,10-20 miles,376327,22433988.586820185,59.6130189617545
2019,20+ miles,54039,4396540.328662276,81.35865446552076
2020,<1 mile,287358,2837888.7486385405,9.875795170618325
2020,1-2 miles,448134,5787734.372215986,12.915186913325002
2020,2-5 miles,403118,7606875.069698989,18.870095281527963
2020,5-10 miles,111872,3530635.789501518,31.55960195135081
2020,10-20 miles,54187,2815128.914281428,51.95210870285175
2020,20+ miles,8017,631322.3870922327,78.74795897370996
2021,<1 mile,529140,5619776.748680055,10.62058575930766
2021,1-2 miles,955767,13130252.37035799,13.737921868361212
2021,2-5 miles,927188,19308910.878692806,20.825238116426018
2021,5-10 miles,268091,9124353.97858882,34.03454043063296
2021,10-20 miles,187522,11124351.258224398,59.32291282209233
2021,20+ miles,29373,2382424.522649169,81.10933587475468
2022,<1 mile,561121,6391524.149188399,11.390634371531986
2022,1-2 miles,997531,14268311.38600713,14.303627041171783
2022,2-5 miles,953174,19898092.894006282,20.875614414583573
2022,5-10 miles,301874,10688657.033986866,35.40767682538697
2022,10-20 miles,259500,16139604.882658064,62.19500918172665
2022,20+ miles,40026,3365084.9750923514,84.07247726708518
2023,<1 mile,584254,8846365.372096071,15.141300482488901
2023,1-2 miles,887939,17359585.99150052,19.550426314758692
2023,2-5 miles,747415,21342095.08341241,28.554544775542915
2023,5-10 miles,243116,12190002.144086361,50.140682407107555
2023,10-20 miles,224805,18778581.350102425,83.53275661174095
2023,20+ miles,34212,4128487.7569520473,120.67367464492129
2024,<1 mile,736002,11096253.837980522,15.076390876628762
2024,1-2 miles,1131501,21910434.798547365,19.364043689353668
2024,2-5 miles,999308,27652858.635047764,27.672007664351494
2024,5-10 miles,330065,15746939.920795482,47.70860261098717
2024,10-20 miles,263746,21825100.617031932,82.75045163540653
2024,20+ miles,39548,4561629.958067417,115.34413770778337
2098,2-5 miles,1,25.799999237060547,25.799999237060547
